Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13372892,Kashmir: A Case of Freedom,Tariq Ali,"Ali, Tariq",,1844678261,9.78184E+12,0,Verso,Kindle Edition,140,2011,2011,,25/2/2025,to-read,to-read (#73),to-read,,,,0,0
57615563,Kashmir at the Crossroads: Inside a 21st-Century Conflict,Sumantra Bose,"Bose, Sumantra",,300256876,9.7803E+12,0,Yale University Press,Hardcover,352,2021,2021,,25/2/2025,to-read,to-read (#72),to-read,,,,0,0
2547,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,000100039X,9.78E+12,4,Rupa & Co,Paperback,127,2003,1923,20/1/2025,12/5/2024,,,read,,,,1,0
272724,"Purification of the Heart: Signs, Symptoms and Cures of the Spiritual Diseases of the Heart",Hamza Yusuf,"Yusuf, Hamza","محمد مولود بن أحمد فال اليعقوبي الموسوي, Imam al-Mawlud",1929694156,9.78193E+12,0,"Starlatch, Llc",Paperback,220,2004,2004,,17/1/2025,to-read,to-read (#71),to-read,,,,0,0
432539,The Sealed Nectar | Biography of Prophet Muhammad (SAW),Safiur Rahman Mubarakpuri,"Mubarakpuri, Safiur Rahman",Darussalam,6035001106,9.78604E+12,0,Darussalam Publishers,Hardcover,656,2011,1976,17/1/2025,23/2/2023,,,read,,,,1,0
73945,Apology,Plato,"Plato, Plato",James J. Helm,865163480,9.78087E+12,0,Bolchazy-Carducci Publishers,Paperback,127,1997,-399,15/1/2025,15/1/2025,,,read,,,,1,0
12781,The Satanic Verses,Salman Rushdie,"Rushdie, Salman",,312270828,9.78031E+12,0,Picador,Paperback,561,1997,1988,,15/1/2025,to-read,to-read (#70),to-read,,,,0,0
53474881,"Hop-Frog, or the Eight Chained Ourang-Outangs",Edgar Allan Poe,"Poe, Edgar Allan",,599903562,9.7806E+12,3,Vintage Books,ebook,,2020,1849,30/12/2024,30/12/2024,,,read,,,,1,0
20949562,The Quantum Age: How the Physics of the Very Small has Transformed Our Lives,Brian Clegg,"Clegg, Brian",,184831664X,9.78185E+12,0,Icon Books,Hardcover,288,2014,2014,,30/12/2024,to-read,to-read (#69),to-read,,,,0,0
261240,The Cask of Amontillado,Edgar Allan Poe,"Poe, Edgar Allan",,1594561869,9.78159E+12,4,BookSurge,Paperback,24,2009,1846,29/12/2024,29/12/2024,,,read,,,,1,0
144925,Muhammad: His Life Based on the Earliest Sources,Martin Lings,"Lings, Martin",,1594771537,9.78159E+12,0,Inner Traditions,Paperback,384,2006,1983,,18/11/2024,to-read,to-read (#68),to-read,,,,0,0
55248982,Al-Ghazali’s Adapted Summary of Ihya Ulum al-Din: The Forty Principles of the Religion,Imam Abu Hamid Muhammad ibn Muhammad al-Ghazali,"al-Ghazali, Imam Abu Hamid Muhammad ibn Muhammad","Mariam Madge Conlan, Nasir Abdussalam",,,0,Turath Publishing,Kindle Edition,460,2020,,,18/11/2024,to-read,to-read (#67),to-read,,,,0,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,,,1,Warner,Paperback,210,2000,1997,24/10/2023,13/10/2023,,,read,,,,1,0
20642794,Thanda Gosht / ٹھنڈا گوشت,سعادت حسن منٹو,"منٹو, سعادت حسن",Saadat Hasan Manto,969352098X,9.78969E+12,4,Sang-e-Meel Publications,Hardcover,80,2008,1950,,27/10/2024,,,read,,,,1,0
11991,The Fall (Vintage International),Albert Camus,"Camus, Albert",Justin O'Brien,679720227,9.78068E+12,0,Vintage Books,Paperback,147,1991,1956,,29/10/2024,to-read,to-read (#66),to-read,,,,0,0
33124137,Pet Sematary,Stephen  King,"King, Stephen",,,,0,Scribner,Kindle Edition,580,2014,1983,,28/10/2024,to-read,to-read (#65),to-read,,,,0,0
61170765,IQ84,Haruki Murakami,"Murakami, Haruki",,,,0,,Paperback,928,2009,2009,,28/10/2024,to-read,to-read (#64),to-read,,,,0,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,1590171993,9.78159E+12,0,New York Review Books,Paperback,292,2006,1965,,25/10/2024,to-read,to-read (#63),to-read,,,,0,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,385539258,9.78039E+12,0,Doubleday,Hardcover,736,2015,2015,,21/10/2024,to-read,to-read (#62),to-read,,,,0,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,439554934,9.78044E+12,5,Scholastic Inc,Hardcover,309,2003,1997,,17/2/2022,,,read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,,9.7988E+12,0,Harper,Paperback,212,2016,2016,25/2/2022,17/2/2022,,,read,,,,2,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,62301233,9.78006E+12,1,Ecco,Hardcover,392,2015,2015,6/12/2022,25/2/2022,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,1250301696,9.78125E+12,2,Celadon Books,Hardcover,336,2019,2019,,9/12/2022,,,read,,,,1,0
32471928,Eat That Frog! Action Workbook: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,"Tracy, Brian",,1523084707,9.78152E+12,2,Berrett-Koehler Publishers,Paperback,144,2017,,10/2/2023,5/2/2023,,,read,,,,1,0
33574273,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,1250153271,9.78125E+12,1,Square Fish,Paperback,218,2017,1962,,17/2/2022,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,62315005,9.78006E+12,1,HarperOne,Paperback,182,2014,1988,16/2/2023,25/2/2022,,,read,,,,1,0
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,1405293187,9.78141E+12,1,Electric Monkey,Paperback,433,2019,2019,6/3/2023,11/2/2023,,,read,,,,1,0
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,,,1,,Kindle Edition,526,2023,2023,,18/2/2024,,,read,,,,1,0
28922,An Artist of the Floating World,Kazuo Ishiguro,"Ishiguro, Kazuo",,571225365,9.78057E+12,0,Faber and Faber,Paperback,206,2005,1986,,21/10/2024,to-read,to-read (#61),to-read,,,,0,0
28920,A Pale View of Hills,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,0,Faber and Faber,Paperback,183,2005,1982,,21/10/2024,to-read,to-read (#60),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,60929871,9.78006E+12,0,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,21/10/2024,26/10/2023,,,read,,,,1,0
30091914,Human Acts,Han Kang,"Kang, Han",Deborah     Smith,1101906723,9.7811E+12,0,Hogarth,Hardcover,218,2017,2014,,18/10/2024,to-read,to-read (#59),to-read,,,,0,0
23035984,The Book of Gold Leaves,Mirza Waheed,"Waheed, Mirza",,241968119,9.78024E+12,0,Viking,Kindle Edition,336,2014,2014,,17/10/2024,,,read,,,,1,0
3717320,The $12 Million Stuffed Shark: The Curious Economics of Contemporary Art,Don   Thompson,"Thompson, Don",,230610226,9.78023E+12,0,Palgrave Macmillan,Hardcover,272,2008,2008,,18/6/2024,to-read,to-read (#58),to-read,,,,0,0
40611328,"Ishmael (Ishmael, #1)",Daniel Quinn,"Quinn, Daniel",,,,0,Bantam,Kindle Edition,338,2009,1992,,1/6/2024,to-read,to-read (#57),to-read,,,,0,0
